name,highway,oneway,length,lanes,speed_kph,maxspeed,travel_time,geometry
,residential,False,76.262,,40.2,,6.8,"LINESTRING (621476.2931175367 4401986.908260331, 621552.681001781 4401984.232391735)"
Kibler Road,residential,False,37.336999999999996,,40.2,,3.3,"LINESTRING (621476.2931175367 4401986.908260331, 621476.4310557132 4401989.019818203, 621475.5918201169 4402024.166464133)"
Kibler Road,residential,False,48.230999999999995,,40.2,,4.3,"LINESTRING (621476.2931175367 4401986.908260331, 621474.4845386002 4401955.016978672, 621474.8267650255 4401938.813524984)"
,residential,False,76.262,,40.2,,6.8,"LINESTRING (621552.681001781 4401984.232391735, 621476.2931175367 4401986.908260331)"
Kibler Road,residential,False,5.16,,40.2,,0.5,"LINESTRING (621475.5918201169 4402024.166464133, 621475.6045093462 4402029.317978477)"
Bandtail Lane,residential,False,147.00900000000001,,40.2,,13.2,"LINESTRING (621475.5918201169 4402024.166464133, 621535.7503170391 4402025.296820552, 621622.9230067226 4402024.946295827)"
Kibler Road,residential,False,37.336999999999996,,40.2,,3.3,"LINESTRING (621475.5918201169 4402024.166464133, 621476.4310557132 4401989.019818203, 621476.2931175367 4401986.908260331)"
Connell Lane,residential,False,152.474,,40.2,,13.7,"LINESTRING (621474.8267650255 4401938.813524984, 621627.6346895335 4401936.904602075)"
Kibler Road,residential,False,48.230999999999995,,40.2,,4.3,"LINESTRING (621474.8267650255 4401938.813524984, 621474.4845386002 4401955.016978672, 621476.2931175367 4401986.908260331)"
Kibler Road,residential,False,45.483000000000004,,40.2,,4.1,"LINESTRING (621474.8267650255 4401938.813524984, 621474.911114132 4401933.485916313, 621474.9458339131 4401893.40836688)"
,residential,False,136.881,,40.2,,12.3,"LINESTRING (621247.8067600034 4402965.81788093, 621250.1379137925 4402829.18945883)"
,residential,False,136.881,,40.2,,12.3,"LINESTRING (621250.1379137925 4402829.18945883, 621247.8067600034 4402965.81788093)"
Young Avenue,residential,False,40.516,,40.2,,3.6,"LINESTRING (621250.1379137925 4402829.18945883, 621209.5308016327 4402828.991741049)"
Young Avenue,residential,False,206.52100000000002,,40.2,,18.5,"LINESTRING (621250.1379137925 4402829.18945883, 621299.9956881509 4402829.533677501, 621311.725050428 4402830.052235887, 621321.7501052869 4402829.988756279, 621335.1925510881 4402830.534446668, 621354.9839442599 4402830.514488378, 621418.7805314217 4402832.523279978, 621428.532812715 4402833.454800249, 621445.667169858 4402833.504032896, 621450.1457929531 4402832.020667605, 621453.2785543527 4402828.961716683, 621454.0828347877 4402826.86507525)"
Young Avenue,residential,False,22.821,,40.2,,2.0,"LINESTRING (621209.5308016327 4402828.991741049, 621186.6611290697 4402828.630379866)"
Young Avenue,residential,False,40.516,,40.2,,3.6,"LINESTRING (621209.5308016327 4402828.991741049, 621250.1379137925 4402829.18945883)"
Maxwood Drive,residential,False,75.169,,40.2,,6.7,"LINESTRING (621209.5308016327 4402828.991741049, 621208.8546478089 4402855.514761061, 621208.1738247453 4402904.01960779)"
Maxwood Drive,residential,False,144.345,,40.2,,12.9,"LINESTRING (621209.5308016327 4402828.991741049, 621209.7589918327 4402711.536533093, 621209.8372974169 4402684.893052102)"
Young Avenue,residential,False,113.682,,40.2,,10.2,"LINESTRING (621454.0828347877 4402826.86507525, 621567.9320098941 4402822.340502999)"
